Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1950,2.06,3.02,4.01,1.45,3.73,4.08,7.39,5.51,3.61,2.57,0.81,2.94
1951,2.25,3.78,4.6,4.88,0.47,4.86,7.41,1.17,5.58,2.78,2.63,8.36
1952,3.46,4.49,8.61,1.92,3.94,3.11,1.2,7.05,1.61,0.75,2.12,5.93
1953,5.39,5.95,3.41,6.86,3.58,2.09,4.38,1.67,7.32,0.09,1.35,8.25
1954,3.73,2.7,3.07,1.91,3.31,2.08,6.31,1.14,0.26,0.17,4.12,3
1955,4.93,3.98,3.27,4.31,2.43,3.53,6.52,1.54,0.96,1.17,2.71,1.08
1956,1.88,6.57,5.93,5.18,2.6,2.21,7.26,1.1,6.19,2,1.55,3.12
1957,5.35,1.91,4.69,6.04,3.4,3.06,3.16,3.52,5.3,2.69,6.7,3.05
1958,3.88,5.91,5.19,4.5,4.11,4.09,8.85,3.56,3.14,1.69,2.14,2.58
1959,3.38,3.61,6.61,2.83,5.35,1.5,3.27,1.42,3.46,7.14,1.35,2.31
1960,10.16,5.27,5.26,4.59,0.96,1.26,2.25,5.6,4.84,2.57,0.89,2.46
1961,1.74,12.77,7.33,5.01,3.18,7.38,2.19,4.94,1.68,0.07,2.39,9.92
1962,5.24,5.09,6.72,5.96,0.38,4.39,5.25,1.21,3.51,1.53,6.19,2.34
1963,5.1,3.24,5.92,5.85,4.66,6.68,8.12,0.88,5.19,T,3.81,5.86
1964,6.01,4.17,9.51,8.68,2.59,2.88,7.14,4.1,1.38,5.63,3.11,4.93
1965,3.74,4.31,5.94,3.1,2.51,7.15,4.59,1.53,3.02,2.35,2.32,1.7
1966,5.94,7.04,4.02,4.19,5.84,2.95,3.32,3.94,2.15,7.53,4.82,4.6
1967,4.85,3.75,3.63,2.81,4.95,3.06,6.46,8.69,1.9,2.51,5.52,6.71
1968,4.07,1.4,4.54,6.33,6.42,2.65,5.34,4.13,1.29,2.99,4.81,4.89
1969,2.85,3.2,4,5.7,7.68,1,2.64,6.12,3.74,1.53,2.67,3.27
1970,2.95,2.99,6.94,3.24,3.01,2.62,3.59,3.26,1.82,6.29,1.86,3.68
1971,4.4,5.77,8.65,4.09,2.12,3.33,8.22,2.76,3.32,0.31,3.42,2.79
1972,9.26,3.16,4.49,2.31,4.28,4.04,3.81,2.78,1.86,3.04,3.96,7.62
1973,8.89,3.44,9.53,4.03,7.14,3.35,2.1,1.35,4.16,0.75,2.31,8.11
1974,5.36,6.37,2.44,3.72,3.83,3.2,4.64,6.26,1.06,1.22,3.89,5.31
1975,6.19,8.98,8.31,4.28,4.62,5.52,8.52,3.3,2.99,5.31,4.62,3.36
1976,5.15,1.84,10.95,1.49,6.99,2.36,4.29,0.5,0.72,3.55,4.11,4.01
1977,3.49,2.14,6.28,1.77,2.04,3.03,4.26,4.23,4.9,5,7.18,2.36
1978,7.03,0.77,2.63,3.49,7.28,2.86,2.56,5.66,0.94,1.42,2.96,3.75
1979,5.03,5.71,3.19,11.86,2.43,1.46,3.62,7.28,6.08,2.17,5.19,0.69
1980,5.69,2.69,11.66,1.88,8.37,4.49,0.76,1.59,4.77,1.61,2.14,1.29
1981,0.84,6.62,3.93,2.06,3.89,2.69,2.74,2.76,5.27,3.01,1.85,6.25
1982,4.75,6.99,3.79,6.02,2.6,6.09,6.31,1.45,3,5.83,4.15,5.23
1983,3.09,4.99,6.68,4.79,1.42,1.52,1.85,1.06,7.52,1.97,7.46,9.27
